r_mult,pts,exit_reason,sl_pts,entry_px,exit_px,timestamp,date,session,pred_class,regime,direction,confidence,atr_entry,pnl_usd,win,year,month
0.0,0.0,BE,9.914285714285715,20934.5,20934.5,2024-08-27 16:11:00,2024-08-27,NY,4,LONG_REV,LONG,0.9926409125328064,12.392857142857142,0.0,0,2024,2024-08
0.0,0.0,BE,10.357142857142858,20943.75,20943.75,2024-08-27 16:12:00,2024-08-27,NY,4,LONG_REV,LONG,0.9853711128234863,12.946428571428571,0.0,0,2024,2024-08
0.0,0.0,BE,11.342857142857143,20925.5,20925.5,2024-08-27 16:14:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9974045157432556,14.178571428571429,0.0,0,2024,2024-08
-0.9999999999998446,-11.371428571426804,SL,11.371428571428572,20914.5,20925.871428571427,2024-08-27 16:15:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9974810481071472,14.214285714285714,-227.4285714285361,0,2024,2024-08
0.0,0.0,BE,12.17142857142857,20934.25,20934.25,2024-08-27 16:16:00,2024-08-27,NY,4,LONG_REV,LONG,0.9961511492729187,15.214285714285714,0.0,0,2024,2024-08
0.0,0.0,BE,12.042857142857144,20936.5,20936.5,2024-08-27 16:18:00,2024-08-27,NY,4,LONG_REV,LONG,0.9834927320480347,15.053571428571429,0.0,0,2024,2024-08
0.0,0.0,BE,11.0,20934.5,20934.5,2024-08-27 16:19:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9964732527732849,13.75,0.0,0,2024,2024-08
0.0,0.0,BE,9.914285714285715,20940.0,20940.0,2024-08-27 16:22:00,2024-08-27,NY,4,LONG_REV,LONG,0.978797197341919,12.392857142857142,0.0,0,2024,2024-08
0.0,0.0,BE,9.971428571428572,20943.5,20943.5,2024-08-27 16:23:00,2024-08-27,NY,4,LONG_REV,LONG,0.9828284382820129,12.464285714285714,0.0,0,2024,2024-08
1.5426737160121395,14.589285714286234,TRAIL,9.457142857142857,20943.25,20957.839285714286,2024-08-27 16:28:00,2024-08-27,NY,4,LONG_REV,LONG,0.9703960418701172,11.821428571428571,291.7857142857247,1,2024,2024-08
-0.9999999999998966,-12.085714285713038,SL,12.085714285714287,20967.25,20955.164285714287,2024-08-27 16:34:00,2024-08-27,NY,4,LONG_REV,LONG,0.9837114214897156,15.107142857142858,-241.71428571426077,0,2024,2024-08
0.0,0.0,BE,14.0,20922.0,20922.0,2024-08-27 16:38:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9985772371292114,19.428571428571427,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,20910.75,20910.75,2024-08-27 16:39:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9633872509002686,20.482142857142858,0.0,0,2024,2024-08
-1.0,-14.0,SL,14.0,20913.0,20899.0,2024-08-27 16:42:00,2024-08-27,NY,4,LONG_REV,LONG,0.9954238533973694,23.714285714285715,-280.0,0,2024,2024-08
0.0,0.0,BE,14.0,20907.0,20907.0,2024-08-27 16:44:00,2024-08-27,NY,4,LONG_REV,LONG,0.9958668947219849,24.589285714285715,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,20927.0,20927.0,2024-08-27 16:49:00,2024-08-27,NY,4,LONG_REV,LONG,0.9975606203079224,25.607142857142858,0.0,0,2024,2024-08
0.0,0.0,BE,14.0,20946.5,20946.5,2024-08-27 16:51:00,2024-08-27,NY,4,LONG_REV,LONG,0.9966889023780823,25.964285714285715,0.0,0,2024,2024-08
0.0,0.0,BE,6.0,20993.75,20993.75,2024-09-02 09:48:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9975590705871582,3.625,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20990.5,20996.5,2024-09-02 09:49:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9955649971961975,4.017857142857143,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20996.5,20996.5,2024-09-02 09:50:00,2024-09-02,LON,4,LONG_REV,LONG,0.9758895635604858,4.267857142857143,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20995.0,21001.0,2024-09-02 09:51:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9964780211448669,4.446428571428571,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20997.5,20997.5,2024-09-02 09:52:00,2024-09-02,LON,4,LONG_REV,LONG,0.9791334271430969,4.607142857142857,0.0,0,2024,2024-09
0.0,0.0,BE,6.0,20999.5,20999.5,2024-09-02 09:53:00,2024-09-02,LON,4,LONG_REV,LONG,0.9874817132949829,4.607142857142857,0.0,0,2024,2024-09
2.0684523809522943,12.410714285713766,TRAIL,6.0,20997.75,20985.339285714286,2024-09-02 09:56:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9865128993988037,5.178571428571429,248.21428571427532,1,2024,2024-09
-1.0,-6.0,SL,6.0,20997.75,20991.75,2024-09-02 09:59:00,2024-09-02,LON,4,LONG_REV,LONG,0.9859532117843628,5.017857142857143,-120.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20985.5,20991.5,2024-09-02 10:01:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9990942478179932,5.678571428571429,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20990.25,20990.25,2024-09-02 10:03:00,2024-09-02,LON,4,LONG_REV,LONG,0.9805800318717957,5.428571428571429,0.0,0,2024,2024-09
0.0,0.0,BE,6.0,20990.5,20990.5,2024-09-02 10:04:00,2024-09-02,LON,4,LONG_REV,LONG,0.9731407165527344,5.232142857142857,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20992.5,20986.5,2024-09-02 10:05:00,2024-09-02,LON,4,LONG_REV,LONG,0.9817091226577759,5.321428571428571,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20987.0,20987.0,2024-09-02 10:06:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9966892600059509,5.375,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20991.25,20985.25,2024-09-02 10:07:00,2024-09-02,LON,4,LONG_REV,LONG,0.9437994956970215,5.732142857142857,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20985.25,20985.25,2024-09-02 10:09:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9981235861778259,5.803571428571429,0.0,0,2024,2024-09
